project_id,project_name,sector,ministry,implementing_agency,contractor_name,state,original_cost_crore,revised_cost_crore,cost_overrun_pct,has_cost_overrun,start_date,planned_duration_months,actual_duration_months,planned_completion_date,expected_actual_completion_date,delay_months,is_delayed,physical_progress_pct,expenditure_pct,expenditure_crore,fund_utilization_pct,milestones_total,milestones_completed,delay_reasons,status,risk_score,risk_label
PRJ00001,Maharashtra Fertilizers Infra Development Phase-1,Fertilizers,Ministry of Chemicals & Fertilizers,NTPC,KNR Constructions,Maharashtra,2374.76,1883.85,0.0,False,2017-04-13,48,48,2021-03-23,2021-03-23,0,False,96.8,86.0,1620.77,68.2,8,8,None,On Track,2.6,Low
PRJ00002,Maharashtra Petroleum & Natural Gas Infra Development Phase-2,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,Coal India Ltd,NCC Limited,Maharashtra,1631.15,3410.62,109.09,True,2018-07-26,72,82,2024-06-24,2025-04-20,10,True,85.7,23.5,802.33,49.2,4,3,Poor contractor mobilization,Delayed,91.5,High
PRJ00003,Maharashtra Railways Infra Development Phase-3,Railways,Ministry of Railways,NHAI,Larsen & Toubro Infra,Maharashtra,1534.56,3389.38,120.87,True,2018-01-19,24,30,2020-01-09,2020-07-07,6,True,74.6,19.9,673.42,43.9,6,4,Land acquisition delay,Delayed,100.0,High
PRJ00004,Maharashtra Postal Infrastructure Infra Development Phase-4,Postal Infrastructure,Ministry of Communications,ONGC,Larsen & Toubro Infra,Maharashtra,1534.58,4342.66,182.99,True,2021-09-15,60,111,2026-08-20,2030-10-28,51,True,41.0,10.2,442.13,28.8,6,2,Delay in tendering/equipment supply; Price escalation of raw materials,Delayed,100.0,High
PRJ00005,Maharashtra Roads & Highways Infra Development Phase-5,Roads & Highways,Ministry of Road Transport & Highways,GAIL,Larsen & Toubro Infra,Maharashtra,4109.98,2165.38,0.0,False,2021-09-28,60,87,2026-09-02,2028-11-20,27,True,51.0,11.9,257.07,6.3,8,4,Contractual issues; Change in project scope,Delayed,38.3,Medium
PRJ00006,Maharashtra Mining Infra Development Phase-6,Mining,Ministry of Mines,NTPC,Shapoorji Pallonji Infra,Maharashtra,2750.45,2590.84,0.0,False,2018-01-15,96,96,2025-12-04,2025-12-04,0,False,100.0,13.7,353.93,12.9,10,10,None,Completed,3.2,Low
PRJ00007,Maharashtra Inland Waterways Infra Development Phase-7,Inland Waterways,"Ministry of Ports, Shipping & Waterways",AAI,NCC Limited,Maharashtra,1313.84,1971.88,50.09,True,2020-11-09,84,128,2027-10-04,2031-05-16,44,True,36.4,17.9,352.43,26.8,12,4,Forest/environment clearance delay; Court cases/litigation,Delayed,78.8,High
PRJ00008,Maharashtra Urban Development Infra Development Phase-8,Urban Development,Ministry of Housing & Urban Affairs,NHPC,Larsen & Toubro Infra,Maharashtra,2435.81,1235.57,0.0,False,2018-05-27,96,115,2026-04-15,2027-11-06,19,True,68.2,60.9,751.85,30.9,10,7,Rehabilitation & resettlement issues,Delayed,22.1,Low
PRJ00009,Maharashtra Fertilizers Infra Development Phase-9,Fertilizers,Ministry of Chemicals & Fertilizers,Deendayal Port Trust,Larsen & Toubro Infra,Maharashtra,2054.03,6213.41,202.5,True,2021-01-21,48,91,2024-12-31,2028-07-13,43,True,48.8,4.7,294.84,14.4,12,6,Funding constraints,Delayed,100.0,High
PRJ00010,Maharashtra Railways Infra Development Phase-10,Railways,Ministry of Railways,IFFCO,Larsen & Toubro Infra,Maharashtra,402.36,4040.51,904.2,True,2019-07-23,48,84,2023-07-02,2026-06-16,36,True,87.9,21.2,856.15,100.0,8,7,Shortage of skilled manpower,Delayed,100.0,High
